"id","permit_no","type","received","received_year","received_month","approved","approved_year","approved_month","approval_msg","name","comments","duration"
101,"2008-07","CDP/PDP",2008-01-27,2008,1,,,,"Withdrawn","Metro Center","Coastal/Planned Permit, 475k Retail Center",
102,"2008-08","CCDP",2008-02-19,2008,2,,,,"Withdrawn","Foster West","PERMIT CLOSED DUE TO INACTIVITY 11.21.09",
103,"2008-09","CCDP",2008-04-28,2008,4,,,,"Withdrawn","Riva Trigoso","Change approved residential project (40 units) to hotel project (50 units)",
104,"2008-21","CCDP",2008-04-09,2008,4,2009-11-18,2009,11,,"10th and A Hotel","128 Room Hotel",219
105,"2008-46","CCDP/CUP",2008-09-15,2008,9,,,,"Withdrawn","Imperial Way Apartments","60 affordable, senior apartment units",
106,"2008-47","CCDP",2008-11-07,2008,11,2010-03-24,2010,3,,"Columbia Tower","402 hotel rooms, 11 condominium units, 6,561 sf office",137
107,"2008-48","CCDP",2008-11-14,2008,11,,,,"Withdrawn","Holiday Inn Express","WITHDRAWN 82 hotel rooms",
108,"2008-49","CCDP",2008-12-08,2008,12,2009-02-18,2009,2,,"  Ariel Suites","143 residential apartment units, 9,618 sf retail",70
109,"2008-49(A)","CCDP",2010-09-17,2010,9,2010-11-17,2010,11,,"Ariel Suites Revised Design/Development Permit Amendment","Revision of approved deisgn, 224 apartment units and 17,300 sq ft retail (amendment does not effect expiration date of original permit)",60
110,"2009-05","CCDP",2009-02-03,2009,2,2009-04-16,2009,4,,"13th & J Residences and Office","New 4 story bldg over enclosed parking garage.  3 floors residential, 1 floor office",73
111,"2009-07","CCDP (OPA)",2009-02-19,2009,2,2009-12-07,2009,12,,"9th & Broadway","16 story building.  250 Residential units (142 living units, 32 studios, 76 one bedrooms)",288
112,"2009-17","CCDP/CUP",2009-04-29,2009,4,,,,"Witdrawn","San Diego National Bank","Proposed Parking Structure",
113,"2009-31","CCDP",2009-08-14,2009,8,2010-07-23,2010,7,"Withdrawn","777 Beech","CLOSED PER LDC. Residential/Mixed-Use Tower & Underground Parking",
114,"2009-38","CCDP",2010-06-15,2010,6,2010-09-29,2010,9,,"Columbia/Fir","40 rental units; 10,000sq.ft. retail",104
115,"2010-27","CCDP/CP",2010-03-24,2010,3,2010-07-27,2010,7,,"Fire Station No. 2 (Bayside)","3-bay Fire Station",125
116,"2010-29","CCDP/VAR",2010-04-15,2010,4,,,,"Withdrawn","Shapery Park Tower","APPLICATION CLOSED DUE TO INACTIVTY - 41-story, 90 hotel rooms, and 74 residential condominium unts",
117,"2010-37","CCDP",2010-06-14,2010,6,2010-10-08,2010,10,,"Fusion 21","Renovation of an existing single-family home plus the addition of three residential units",114
118,"2010-61","CCDP",2010-10-20,2010,10,2011-11-07,2011,11,,"Juniper Street","Residential Mixed-Use, 32 condo units, 3500 commercial",377
119,"2011-01","CCDP",2011-01-05,2011,1,2011-04-30,2011,4,,"Broadstone Little Italy","201 residential apartment units, 9400 commercial",115
120,"2011-06","CCDP (OPA)",2012-01-15,2012,1,2012-04-24,2012,4,,"15th & Island","2 45-story mixed-use residential towers, 965 units, 17k retail space",99
121,"2011-07","CCDP/VAR",2011-03-21,2011,3,2011-09-28,2011,9,,"6th Avenue - Courtyard Marriott","90 Hotel Rooms",191
122,"2011-10","NUP",2011-02-17,2011,2,2011-05-20,2011,5,,"A-1 Self Storage-Verizon","Wireless Communication Facility",92
123,"2011-14","CCCDP",2011-03-22,2011,3,2012-03-10,2012,3,,"Kettner and Ash","Residential Mixed Use tower, 285 condo units, 11,550 commercial",354
124,"2011-15","CCCDP",2011-03-18,2011,3,,,,"Withdrawn","Fat City Lofts","Residential Mixed-Use, 239 units, 4,362 sq.ft. retail",
125,"2011-23","CCDP (OPA)",2013-01-15,2013,1,2013-06-05,2013,6,,"Atmosphere","12-Story Apartment Building/250 Affordable Units",140
126,"2011-32","NUP",2011-05-09,2011,5,2011-08-22,2011,8,,"Breeza WCF - Verizon","Wireless Communication Facility",105
127,"2011-38","CCDP",2011-06-07,2011,6,2011-09-28,2011,9,,"13th and Market","264 residential apartment units / 20,332 sq ft retail",112
128,"2011-42","CCDP",2011-06-17,2011,6,2012-02-29,2012,2,,"Palatine","87 rental units/13,750sf.
commercial",256
